# CentOS Stream RPM Package Patch Files Analysis
# Analysis Date: 2025-08-05 15:04:37
# Total Packages Analyzed: 4446
# Packages with Patch Files: 1113
# Percentage: 25.0%
#
package_name,project_id,web_url,patch_count
rapidjson,25168346,https://gitlab.com/redhat/centos-stream/rpms/rapidjson,8
python-sphinx_rtd_theme,25168297,https://gitlab.com/redhat/centos-stream/rpms/python-sphinx_rtd_theme,1
python-sphinx,25168280,https://gitlab.com/redhat/centos-stream/rpms/python-sphinx,4
python-ruamel-yaml-clib,25168270,https://gitlab.com/redhat/centos-stream/rpms/python-ruamel-yaml-clib,1
python-greenlet,25168156,https://gitlab.com/redhat/centos-stream/rpms/python-greenlet,1
python-fs,25168152,https://gitlab.com/redhat/centos-stream/rpms/python-fs,1
python-breathe,25168105,https://gitlab.com/redhat/centos-stream/rpms/python-breathe,2
pytest,25168079,https://gitlab.com/redhat/centos-stream/rpms/pytest,2
pyproject-rpm-macros,25168078,https://gitlab.com/redhat/centos-stream/rpms/pyproject-rpm-macros,3
pybind11,25168074,https://gitlab.com/redhat/centos-stream/rpms/pybind11,2
psutils,25168072,https://gitlab.com/redhat/centos-stream/rpms/psutils,1
pki-servlet-engine,25168057,https://gitlab.com/redhat/centos-stream/rpms/pki-servlet-engine,1
perl-Types-Serialiser,25168030,https://gitlab.com/redhat/centos-stream/rpms/perl-Types-Serialiser,1
perl-Tk,25168029,https://gitlab.com/redhat/centos-stream/rpms/perl-Tk,9
perl-Test-CPAN-Meta-JSON,25167970,https://gitlab.com/redhat/centos-stream/rpms/perl-Test-CPAN-Meta-JSON,1
perl-Test-CPAN-Meta,25167969,https://gitlab.com/redhat/centos-stream/rpms/perl-Test-CPAN-Meta,1
perl-Test2-Suite,25167968,https://gitlab.com/redhat/centos-stream/rpms/perl-Test2-Suite,1
perl-Readonly,25167940,https://gitlab.com/redhat/centos-stream/rpms/perl-Readonly,1
perl-Pod-Coverage,25167935,https://gitlab.com/redhat/centos-stream/rpms/perl-Pod-Coverage,1
perl-Module-Package,25167890,https://gitlab.com/redhat/centos-stream/rpms/perl-Module-Package,1
perl-Module-Manifest-Skip,25167889,https://gitlab.com/redhat/centos-stream/rpms/perl-Module-Manifest-Skip,1
perl-Module-Install-Repository,25167888,https://gitlab.com/redhat/centos-stream/rpms/perl-Module-Install-Repository,1
perl-Module-Install-ReadmeFromPod,25167886,https://gitlab.com/redhat/centos-stream/rpms/perl-Module-Install-ReadmeFromPod,2
perl-Module-Install-AutoLicense,25167881,https://gitlab.com/redhat/centos-stream/rpms/perl-Module-Install-AutoLicense,1
perl-Module-Install,25167878,https://gitlab.com/redhat/centos-stream/rpms/perl-Module-Install,1
